employee_id,training_date,training_type,training_outcome,location,trainer,training_duration_days,training_cost,training_program_id,training_program_name
1022,2023-01-12,Internal,Failed,Lindseyburgh,Kevin Nichols,1,664.23,3,Project Management
1023,2022-10-19,Internal,Failed,West Justinborough,Angela Good,4,893.07,3,Project Management
1024,2022-10-11,External,Completed,Hullmouth,Keith Curtis,5,868.98,3,Project Management
1025,2023-01-13,Internal,Incomplete,Thompsonbury,Nina Rodriguez,5,761.95,3,Project Management
1026,2023-04-17,External,Incomplete,Cynthiachester,Jennifer Robinson,4,431.57,4,Communication Skills
1027,2023-03-16,External,Incomplete,East Jackstad,Mr. Robert Byrd MD,4,357.57,4,Communication Skills
1028,2023-01-19,Internal,Incomplete,East Christopher,Gina Moore,3,804.06,1,Technical Skills
1029,2023-02-25,Internal,Failed,Lake Anthonyton,Christopher Rowland,5,729.41,3,Project Management
1030,2023-01-04,Internal,Completed,Longton,Wendy Gibson,1,169.46,4,Communication Skills
1031,2022-12-26,Internal,Failed,New Williamland,Ashley Gonzalez,1,833.28,4,Communication Skills
1032,2022-12-07,External,Completed,New Jackie,Cynthia Bradley,3,482.23,1,Technical Skills
1033,2023-06-20,Internal,Incomplete,Smithshire,William Smith,4,169.85,4,Communication Skills
1034,2022-11-10,Internal,Failed,Lake Anthony,Cynthia Brown,1,570.62,2,Leadership Development
1035,2023-03-11,Internal,Completed,New Nancy,Joseph Mendoza,2,724.14,4,Communication Skills
1036,2022-12-10,External,Failed,Michaelmouth,Laura Gonzalez,3,305.98,5,Customer Service
1037,2022-10-25,Internal,Failed,North Stephanie,Alexandra Hall,2,646.76,2,Leadership Development
1038,2023-07-28,External,Failed,Jamesland,Eric Davis,2,516.89,5,Customer Service
1039,2023-01-24,External,Passed,East Williamport,Heather Silva,5,520.41,5,Customer Service
1040,2022-12-01,Internal,Completed,Robertsmouth,Robert Johnson,5,712.84,1,Technical Skills
1041,2023-03-07,Internal,Completed,Reesefurt,Taylor Baker,3,871.12,5,Customer Service
1042,2022-10-05,Internal,Passed,New Jesusfort,Brian Maynard,1,228.11,3,Project Management
1043,2022-08-10,External,Completed,West Danielside,Todd Mason,2,289.93,4,Communication Skills
1044,2022-09-13,External,Incomplete,Smithborough,Stephanie Navarro,4,920.78,1,Technical Skills
1045,2023-06-11,External,Completed,West Josephport,Jay Wilkins,2,690.41,5,Customer Service
1046,2023-07-28,Internal,Failed,Lake Jose,Jason Morgan,2,211.39,2,Leadership Development
1047,2022-11-27,Internal,Passed,Smithland,James Phelps,2,606.63,3,Project Management
1048,2022-12-02,Internal,Completed,Powelltown,Ronald Rivera,5,503.99,2,Leadership Development
1049,2022-11-20,Internal,Completed,Gonzalezfort,Dr. Patricia Johnson,2,518.54,2,Leadership Development
1050,2023-08-03,Internal,Completed,Samanthaport,James Reed,1,846.43,5,Customer Service
1051,2022-10-13,Internal,Passed,Hardingfort,Mark Morgan,3,572.94,2,Leadership Development
1052,2022-10-25,Internal,Incomplete,Larryview,Robin Becker,4,234.76,4,Communication Skills
1053,2022-12-19,External,Passed,Valdezfort,Erika Roberts,4,704.7,4,Communication Skills
1054,2022-11-04,External,Failed,Tammyfurt,Cynthia Porter,3,533.97,1,Technical Skills
1055,2022-11-15,Internal,Passed,West Robert,Anna Petty,2,125.7,5,Customer Service
1056,2023-02-16,Internal,Completed,South Julieville,Julie Cole,2,442.06,2,Leadership Development
1057,2022-10-23,Internal,Failed,East Amanda,Andrew Herrera,4,649.23,3,Project Management
1058,2023-04-01,External,Incomplete,South Jesusport,Amanda Christian,1,855.67,3,Project Management
1059,2022-09-16,Internal,Incomplete,Brianville,Victoria Vasquez,3,256.82,1,Technical Skills
1060,2022-09-06,Internal,Completed,East Andres,Cindy Schultz,1,770.84,3,Project Management
1061,2023-08-01,Internal,Incomplete,Paigefurt,Nathan Mitchell,2,862.33,3,Project Management
1062,2022-11-27,Internal,Failed,Carolinemouth,Taylor Barron,5,702.84,1,Technical Skills
1063,2022-10-15,Internal,Completed,Onealland,Eric Harris,1,523.82,1,Technical Skills
1064,2022-10-06,External,Passed,South Charlene,Jacqueline Barton,1,819.86,2,Leadership Development
1065,2022-12-09,External,Passed,East Leah,Kara Frazier MD,4,486.01,1,Technical Skills
1066,2023-06-14,Internal,Completed,Brandonberg,Travis Knox,5,769.42,4,Communication Skills
1067,2023-06-24,External,Completed,Toddtown,Joseph Long,5,857.65,3,Project Management
1068,2022-11-06,External,Completed,Richardmouth,Ashley Wright,1,238.27,4,Communication Skills
1069,2022-08-22,Internal,Failed,South Angelaview,Brandi Petersen,5,886.06,4,Communication Skills
1070,2023-01-14,Internal,Failed,Robertside,Zachary Wilson,1,943.8,1,Technical Skills
1071,2023-03-16,Internal,Completed,Johnport,Amanda Medina,5,234.26,4,Communication Skills
1072,2023-05-19,Internal,Passed,Mendozamouth,Melissa Campos,5,179.91,1,Technical Skills
1073,2022-10-03,Internal,Failed,Ivanburgh,Ryan Hunter,4,306.3,3,Project Management
1074,2023-07-07,Internal,Passed,Davisberg,Ashley Garrett,5,103.42,3,Project Management
1075,2023-05-16,Internal,Passed,East Darryl,Ronald Ortiz,4,573.29,3,Project Management
1076,2022-11-07,External,Incomplete,Jamieville,Becky Hebert,4,619.61,1,Technical Skills
1077,2022-12-21,Internal,Incomplete,West Brookechester,Joshua Kirk,1,947.17,3,Project Management
1078,2023-03-24,External,Passed,Villanuevaborough,Patrick Bryant,1,597.64,3,Project Management
1079,2023-04-15,External,Incomplete,North Jon,Maria Jones,5,861.1,4,Communication Skills
1080,2023-04-22,External,Passed,Mcleanburgh,Sandra Joseph,4,199.14,5,Customer Service
1081,2023-06-05,External,Failed,Brandonview,Samuel Wilson,3,526.08,4,Communication Skills
1082,2023-04-22,External,Incomplete,New Colinfort,Angela Colon,5,662.15,5,Customer Service
1083,2022-11-18,External,Completed,North Brandy,Molly Hughes,4,869.89,3,Project Management
1084,2022-12-17,External,Completed,West Jessicatown,Morgan Thomas,3,295.4,2,Leadership Development
1085,2022-11-01,External,Passed,East Katherinetown,Bradley Petersen,5,993.13,5,Customer Service
1086,2023-07-15,External,Completed,East Robertside,Patrick Andrews,2,641.69,2,Leadership Development
1087,2023-05-10,Internal,Incomplete,Heatherview,Ryan Crawford,5,197.34,1,Technical Skills
1088,2023-05-17,External,Failed,North Elizabeth,Keith Richardson,2,235.15,2,Leadership Development
1089,2023-05-27,Internal,Passed,North Amanda,Jasmin Walker,2,697.28,1,Technical Skills
1090,2023-03-21,External,Completed,Wrightton,Tracy Sanchez,1,910.33,4,Communication Skills
1091,2022-10-20,Internal,Incomplete,Port Patricia,Jennifer Bailey,2,213.91,5,Customer Service
1092,2022-09-20,Internal,Completed,Wilkinsfurt,Heather Gutierrez,5,971.46,4,Communication Skills
1093,2023-07-07,External,Failed,West Matthew,George Burns,5,995.52,5,Customer Service
1094,2022-08-18,Internal,Failed,South Joshuatown,Richard Mckee,4,161.4,4,Communication Skills
1095,2022-08-17,Internal,Passed,New Kimberly,Jeremy Schneider,4,715.87,5,Customer Service
1096,2022-09-25,External,Incomplete,Alexandriachester,Adam Robinson,5,778.25,1,Technical Skills
1097,2022-08-11,Internal,Completed,Port Danielmouth,Ryan Bradley,1,609.5,5,Customer Service
1098,2023-05-13,External,Failed,Rachelshire,Kimberly Smith,5,666.67,2,Leadership Development
1099,2022-10-30,External,Incomplete,Arthurmouth,Linda Carter,5,797.05,3,Project Management
1100,2023-02-25,External,Completed,Brownmouth,Sarah Cain,3,518.56,4,Communication Skills
1101,2023-03-31,Internal,Passed,Osbornfort,Matthew Mason,5,426.82,4,Communication Skills
1102,2022-12-31,External,Failed,Taylorburgh,Timothy Freeman,2,150.04,3,Project Management
1103,2023-07-05,External,Passed,Hoffmanview,Richard Johnson,3,308.21,2,Leadership Development
1104,2022-08-11,Internal,Completed,West Joel,Gloria Phillips,4,766.77,4,Communication Skills
1105,2023-01-17,Internal,Incomplete,Lake Heidi,Sarah Payne,4,172.19,1,Technical Skills
1106,2022-10-31,Internal,Completed,Port Jacob,Amber Taylor,1,742.55,3,Project Management
1107,2023-01-26,Internal,Failed,West Lisafort,Isaac Burke,2,231.28,1,Technical Skills
1108,2023-05-23,Internal,Completed,Ricardoberg,Shane Short,5,124.54,5,Customer Service
1109,2023-01-21,External,Completed,South Ericburgh,Walter Frazier,5,898.37,2,Leadership Development
1110,2022-10-13,Internal,Passed,Webbmouth,Theodore Robles,2,764.36,5,Customer Service
1111,2022-12-05,Internal,Failed,Davilatown,Brendan Holmes,5,786.57,3,Project Management
1112,2022-09-30,Internal,Failed,Delgadoshire,Eric Davis,3,668.05,4,Communication Skills
1113,2023-01-20,External,Incomplete,Lake Eileenfurt,Brittany Jones,2,956.92,1,Technical Skills
1114,2023-02-25,Internal,Incomplete,Jesusland,Darren Huynh,1,912.27,4,Communication Skills
1115,2023-05-19,Internal,Incomplete,Aguirreland,Brenda Martinez,4,881.71,5,Customer Service
1116,2023-05-16,Internal,Incomplete,Kempmouth,Ms. Jeanette Webster DDS,4,557.68,4,Communication Skills
1117,2023-01-12,Internal,Completed,Lake Emily,Ashley Jensen,4,271.68,4,Communication Skills
1118,2022-12-16,External,Completed,North Whitney,Patricia Morris,2,299.68,4,Communication Skills
1119,2023-07-08,Internal,Incomplete,Kaylaburgh,John Williams,5,440.28,4,Communication Skills
1120,2023-03-10,Internal,Incomplete,Swansonstad,Joshua Bell,4,553.83,2,Leadership Development
1121,2022-09-19,Internal,Failed,Richardfurt,George Brown,1,428.9,2,Leadership Development
1122,2023-01-21,Internal,Passed,Allentown,Jessica Hodges,3,444.4,4,Communication Skills
1123,2023-01-31,Internal,Completed,Port Misty,Robert Young,4,254.38,3,Project Management
1124,2022-11-03,Internal,Failed,Jennyport,Derek Harrell,1,256.21,4,Communication Skills
1125,2022-12-14,Internal,Incomplete,New Gregory,Darren Mccarthy,2,756.19,4,Communication Skills
1126,2023-07-29,Internal,Failed,North Benjaminstad,William Farrell,4,500.45,1,Technical Skills
1127,2022-09-04,External,Incomplete,New Waynehaven,Melissa Miles,2,500.83,4,Communication Skills
1128,2023-05-17,Internal,Incomplete,New Cory,James Perez,1,773.8,4,Communication Skills
1129,2022-09-11,Internal,Passed,Ashleyton,Chad Mccall,2,768.06,1,Technical Skills
1130,2022-11-09,External,Completed,Bellport,Mr. Brandon Turner,3,777.7,2,Leadership Development
1131,2023-03-31,Internal,Incomplete,Garnerhaven,Benjamin Briggs,2,943.05,5,Customer Service
1132,2022-09-27,Internal,Passed,Robertsburgh,Amber Harris MD,4,475.91,4,Communication Skills
1133,2022-08-19,External,Passed,Blakeshire,Richard Ross,3,107.14,5,Customer Service
1134,2022-12-09,External,Passed,Robertshire,Carolyn Deleon,1,271.49,4,Communication Skills
1135,2023-03-22,Internal,Passed,West Caitlinport,Andrew Jordan,2,524.23,3,Project Management
1136,2022-12-25,External,Completed,Brittanyberg,Danny Smith,3,535.88,5,Customer Service
1137,2022-09-09,Internal,Passed,Rothville,Monique Williams DVM,5,270.92,4,Communication Skills
1138,2022-09-10,Internal,Failed,Cohenmouth,Stacy Fisher,4,155.14,5,Customer Service
1139,2022-10-01,External,Completed,Port Brandon,Stephanie Hill,1,930.06,5,Customer Service
1140,2022-09-27,Internal,Passed,West Michael,Shawn Martin,1,949.81,5,Customer Service
1141,2023-05-17,Internal,Incomplete,Josephport,Ellen Anderson,1,635.31,1,Technical Skills
1142,2023-07-17,External,Completed,Mistyton,Molly Scott,3,675.04,2,Leadership Development
1143,2022-12-20,Internal,Failed,Geraldmouth,Scott Nelson,3,563.38,5,Customer Service
1144,2023-01-10,External,Completed,Cherylland,Nicholas Thompson,4,750.25,4,Communication Skills
1145,2022-11-15,Internal,Incomplete,North Madelineville,Teresa Lee,2,401.53,1,Technical Skills
1146,2023-06-28,External,Failed,East Elizabeth,Andrew Hendricks,3,894.88,1,Technical Skills
1147,2023-01-25,Internal,Failed,Lake Dianeton,Ms. Diamond Knox,2,247.58,2,Leadership Development
1148,2022-09-01,External,Passed,West Danieltown,Tamara Lee,3,529.0,4,Communication Skills
1149,2023-07-31,External,Failed,East Nicolefort,Michael Roberts,5,483.99,2,Leadership Development
1150,2023-06-03,External,Incomplete,Simmonston,Heather Murillo,5,797.35,3,Project Management
1151,2022-12-19,External,Passed,New Ronald,Christopher Perry,4,707.59,3,Project Management
1152,2023-03-29,External,Incomplete,Taraland,Kelly Golden,2,564.48,5,Customer Service
1153,2022-12-02,Internal,Failed,Jesusmouth,Kyle Hernandez,4,555.35,4,Communication Skills
1154,2022-08-12,Internal,Incomplete,West Sandra,Danielle Decker,3,338.48,5,Customer Service
1155,2022-09-10,Internal,Failed,Port Peggyberg,Michael Price,1,339.01,1,Technical Skills
1156,2022-09-04,Internal,Incomplete,North Kayla,Michael Williams,5,939.49,5,Customer Service
1157,2022-10-11,External,Passed,Jamiestad,Jeffery Brown,1,276.47,1,Technical Skills
1158,2022-09-14,External,Completed,South Stephen,Grant Rodriguez,3,154.71,5,Customer Service
1159,2022-12-27,External,Failed,Diazside,Mrs. Elizabeth Murray DDS,3,674.24,2,Leadership Development
1160,2022-11-07,External,Failed,Lake Nancyshire,Susan Myers,2,137.96,2,Leadership Development
1161,2022-11-13,Internal,Passed,Port Charleneborough,Jeffrey Hester,5,926.85,1,Technical Skills
1162,2022-09-02,External,Incomplete,Port Michelle,Jose Boyd,1,846.55,4,Communication Skills
1163,2023-02-23,External,Passed,Wrightfort,Robin Morgan,3,734.77,4,Communication Skills
1164,2023-03-01,Internal,Incomplete,New Juanville,Anne Goodman,3,315.09,1,Technical Skills
1165,2022-09-27,Internal,Passed,Nguyenberg,Carlos Wilson,3,686.05,4,Communication Skills
1166,2022-08-10,External,Passed,New Claytonville,Christina Waters,4,942.51,4,Communication Skills
1167,2023-02-23,Internal,Failed,Nicolechester,Paul James,4,782.82,3,Project Management
1168,2022-09-02,Internal,Failed,Port Dawn,Austin Gonzalez,1,370.64,3,Project Management
1169,2023-06-30,Internal,Incomplete,Eduardostad,Joshua Salas,1,487.66,1,Technical Skills
1170,2023-08-04,External,Incomplete,Christopherport,Andrew Wright,1,179.85,4,Communication Skills
1171,2022-09-07,Internal,Completed,Perryside,Amanda Richardson,1,294.74,3,Project Management
1172,2023-03-30,External,Passed,North Christina,Jessica Odom,5,202.09,4,Communication Skills
1173,2023-02-09,Internal,Passed,Brownington,Penny Stevenson,4,901.42,5,Customer Service
1174,2023-05-12,External,Incomplete,North Angelahaven,Cindy King,3,454.23,3,Project Management
1175,2023-01-04,Internal,Passed,Duffyport,Richard Adkins,3,460.39,3,Project Management
1176,2023-02-14,Internal,Completed,East Karen,Jessica Taylor,2,644.72,2,Leadership Development
1177,2022-09-17,External,Passed,New Joseph,Mark Perez,3,436.86,5,Customer Service
1178,2022-12-21,External,Failed,Gomezville,Christopher Whitehead,1,361.52,3,Project Management
1179,2023-02-11,Internal,Passed,Thompsonport,Jackson Stanley,2,229.05,1,Technical Skills
1180,2022-11-17,Internal,Completed,Thompsonfort,Paul Terry,3,787.85,1,Technical Skills
1181,2022-12-31,External,Incomplete,Sullivanland,Jessica Quinn,1,483.82,4,Communication Skills
1182,2022-10-19,External,Passed,West Elizabethfurt,Miranda Brown,5,623.64,4,Communication Skills
1183,2023-07-16,Internal,Incomplete,Silvaview,Jennifer Beasley,4,351.35,1,Technical Skills
1184,2023-01-31,Internal,Completed,Deniseville,Mary Coleman,3,512.51,5,Customer Service
1185,2022-09-22,Internal,Failed,North Jason,James Larson,5,957.9,3,Project Management
1186,2023-06-12,External,Failed,Port John,Renee Calderon,5,886.45,4,Communication Skills
1187,2022-10-25,Internal,Incomplete,Acevedoshire,Margaret Martinez,4,443.55,4,Communication Skills
1188,2023-01-07,Internal,Passed,Martinburgh,Justin Soto,4,899.13,1,Technical Skills
1189,2022-09-20,External,Completed,Cabreramouth,Angela Hammond,1,202.74,4,Communication Skills
1190,2023-05-21,External,Failed,Phillipsfurt,Debbie Miller,4,727.81,3,Project Management
1191,2022-09-23,Internal,Completed,Lake Benjamin,Kenneth Kim,2,820.39,5,Customer Service
1192,2022-10-11,External,Passed,Smithbury,Amber Gonzalez,4,111.94,2,Leadership Development
1193,2023-05-05,External,Failed,North Victorstad,Amy Bush,1,231.96,1,Technical Skills
1194,2023-05-07,Internal,Completed,Floresville,Kevin Welch,2,430.92,4,Communication Skills
1195,2023-07-06,Internal,Failed,East Jason,Autumn Harris,3,638.7,1,Technical Skills
1196,2023-02-28,Internal,Completed,New Caroline,Jeffrey Marshall,5,355.3,4,Communication Skills
1197,2023-02-25,Internal,Passed,Debramouth,Alan Hall,5,575.1,1,Technical Skills
1198,2023-06-19,Internal,Failed,North Yvonne,Jennifer Hayes,1,140.82,3,Project Management
1199,2022-11-28,External,Passed,Claytonstad,Christopher Owen,2,663.19,2,Leadership Development
1200,2023-07-29,Internal,Incomplete,South Brendabury,Zachary Alvarez,2,996.77,3,Project Management
1201,2022-10-10,External,Passed,Edwardborough,Paul Henderson,2,145.39,4,Communication Skills
1202,2022-12-08,Internal,Incomplete,Connerborough,Kelly Thompson DDS,1,344.74,1,Technical Skills
1203,2022-10-12,External,Incomplete,Ramirezville,Jennifer Miller,5,308.09,3,Project Management
1204,2023-07-16,External,Incomplete,Isaiahview,Courtney Mendez,1,610.96,3,Project Management
1205,2023-08-01,External,Failed,East Loriberg,Nicole Kelley,3,201.83,4,Communication Skills
1206,2023-07-20,Internal,Passed,Smithstad,Jackie Johnson,5,391.85,1,Technical Skills
1207,2022-12-07,Internal,Completed,East Michaelfort,Kathryn Stephens,5,682.36,4,Communication Skills
1208,2022-09-20,Internal,Passed,Josephside,Sean Jones,3,492.39,2,Leadership Development
1209,2023-06-18,External,Failed,Kruegerville,Emily Pierce,2,197.78,4,Communication Skills
1210,2023-01-09,External,Incomplete,Port Cynthia,Thomas Baker,4,485.44,2,Leadership Development
1211,2023-07-30,External,Passed,South Robinhaven,Kendra Rodriguez,3,557.34,2,Leadership Development
1212,2023-05-03,Internal,Failed,East Frank,Kimberly May,5,817.92,3,Project Management
1213,2023-02-15,External,Failed,Johnsonton,Katelyn Ruiz,4,485.39,3,Project Management
1214,2023-04-02,Internal,Completed,West Jessica,Bobby Stuart,3,145.13,5,Customer Service
1215,2022-09-13,External,Passed,West Dianashire,Brian Thompson,4,751.88,4,Communication Skills
1216,2023-07-16,External,Incomplete,Roweport,Carolyn Hamilton,1,136.48,2,Leadership Development
1217,2023-04-17,External,Completed,Jeremytown,Eric Clark,1,857.42,5,Customer Service
1218,2023-01-30,Internal,Failed,Henryberg,Erica Winters,3,733.16,2,Leadership Development
1219,2022-09-15,External,Failed,West Kevintown,Steven Gutierrez,5,761.31,4,Communication Skills
1220,2023-06-29,External,Passed,West Brittney,Johnathan Doyle,1,920.41,2,Leadership Development
1221,2022-08-25,Internal,Passed,Bonnieborough,Linda Wood,4,167.69,5,Customer Service
1222,2023-03-10,External,Passed,New Jennifer,Melanie Johnson,2,931.45,2,Leadership Development
1223,2022-08-30,External,Completed,Estradahaven,Daniel Harrison,1,474.36,3,Project Management
1224,2023-03-18,Internal,Incomplete,Port Eric,Jeffrey Harvey,5,598.72,3,Project Management
1225,2022-08-14,Internal,Completed,Brownland,Douglas Norton,5,557.02,5,Customer Service
1226,2023-05-20,Internal,Completed,Savageton,Lisa Hall,3,939.92,5,Customer Service
1227,2023-05-15,External,Failed,Amandahaven,Gregory Pratt,3,669.19,4,Communication Skills
1228,2022-10-05,Internal,Failed,Dustinshire,Bethany Willis,5,525.69,1,Technical Skills
1229,2023-01-11,External,Failed,Lake Melissa,Angela Moore,1,173.66,5,Customer Service
1230,2023-04-30,External,Completed,New Reneefurt,Emily Tate,1,635.71,4,Communication Skills
1231,2022-08-06,External,Passed,Port Aliciaview,Douglas Dean,1,896.8,3,Project Management
1232,2022-11-30,Internal,Incomplete,East Katieport,Jill Fox DVM,4,857.61,2,Leadership Development
1233,2022-11-29,Internal,Failed,Robertfurt,Jennifer Turner MD,3,460.59,5,Customer Service
1234,2023-02-19,Internal,Passed,Meganside,Michael Butler,1,504.82,2,Leadership Development
1235,2023-04-10,Internal,Failed,Cookebury,Roberto Brennan,3,737.91,3,Project Management
1236,2023-04-17,External,Passed,Williamsbury,Gerald Wilson,2,244.25,5,Customer Service
1237,2022-11-11,External,Passed,Cervantesshire,Catherine Henderson,2,762.82,2,Leadership Development
1238,2022-11-14,Internal,Incomplete,West Marialand,Vanessa Valdez,2,640.14,2,Leadership Development
1239,2023-04-28,Internal,Incomplete,East Alyssa,Melanie Middleton,3,726.03,3,Project Management
1240,2023-01-04,External,Passed,East Nicoletown,Stacy Morton,5,758.75,4,Communication Skills
1241,2023-02-01,External,Failed,Lewismouth,Susan Johnson,5,878.94,3,Project Management
1242,2023-03-14,External,Passed,East Chaseside,Daniel Holt,3,227.9,3,Project Management
1243,2023-02-05,Internal,Incomplete,Ericmouth,Christopher Jones,3,855.27,4,Communication Skills
1244,2023-02-18,External,Incomplete,Mcmahonton,Charles Farrell,5,170.62,1,Technical Skills
1245,2023-06-29,Internal,Incomplete,Hallton,Garrett Johnson,4,392.14,4,Communication Skills
1246,2022-12-25,Internal,Completed,Joneston,Kathleen Dixon,1,206.93,4,Communication Skills
1247,2022-12-09,External,Completed,East Michaelside,Stephanie Bruce,5,307.13,5,Customer Service
1248,2022-08-24,Internal,Passed,Ellisonchester,Nicholas Ryan,4,165.05,4,Communication Skills
1249,2022-08-15,Internal,Completed,Cruzmouth,Cheyenne Rice,4,371.27,4,Communication Skills
1250,2023-04-28,External,Incomplete,Margaretmouth,Anna Floyd,3,366.78,4,Communication Skills
1251,2023-02-04,External,Failed,Nancyside,Wyatt Hansen,5,205.92,4,Communication Skills
1252,2022-11-20,Internal,Completed,South Brent,Alicia Moore,1,314.51,2,Leadership Development
1253,2023-06-03,Internal,Completed,South Cynthia,Jodi Gibson DDS,2,793.86,5,Customer Service
1254,2023-04-20,Internal,Passed,Allisonport,Ryan Adkins,3,252.53,3,Project Management
1255,2022-10-23,External,Passed,West Laurafort,Jasmin Flynn,2,693.25,5,Customer Service
1256,2023-05-26,Internal,Completed,Lake Derekburgh,Kenneth Rodriguez,4,926.76,3,Project Management
1257,2023-05-23,Internal,Failed,New Elizabethton,Ryan King,1,694.61,1,Technical Skills
1258,2023-06-30,Internal,Incomplete,Alyssabury,Cody Brown,1,732.02,3,Project Management
1259,2023-01-04,Internal,Completed,Port Troyton,Wayne Morgan,1,897.62,2,Leadership Development
1260,2022-11-21,Internal,Completed,Port Rachelshire,Michael Smith,2,786.57,2,Leadership Development
1261,2023-07-26,External,Incomplete,Thompsonberg,Alicia Dunn,3,613.93,3,Project Management
1262,2023-01-17,Internal,Passed,Lake Nancy,Donald Gregory,2,711.8,4,Communication Skills
1263,2023-03-03,Internal,Failed,Port Jason,Larry Yang,5,784.1,4,Communication Skills
1264,2023-05-16,Internal,Failed,Port Jameschester,Alexandra Riley,5,509.67,5,Customer Service
1265,2023-06-15,Internal,Incomplete,Rebeccamouth,Stephen Mcdonald,4,494.96,2,Leadership Development
1266,2023-03-30,Internal,Incomplete,East Christopher,Melissa Brown,5,465.72,3,Project Management
1267,2023-02-27,Internal,Failed,Lewisview,Paul Martin,1,507.43,1,Technical Skills
1268,2023-05-25,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97,3,Project Management
1269,2022-12-23,External,Passed,Lake Kevin,Tommy Wilson,4,813.9,5,Customer Service
1270,2022-08-21,External,Completed,South Michael,Carrie Anderson,2,360.02,2,Leadership Development
1271,2023-02-15,Internal,Completed,North Sheila,Gina White,3,692.71,5,Customer Service
1272,2023-02-24,Internal,Failed,Jonesside,Michelle Holmes,3,233.12,1,Technical Skills
1273,2023-05-24,External,Incomplete,New Seanberg,Sharon Park,1,881.48,1,Technical Skills
1274,2023-05-22,Internal,Passed,West Deanna,Curtis Price,2,448.48,3,Project Management
1275,2023-06-13,External,Incomplete,Port Michellechester,Amber Church,3,288.88,4,Communication Skills
1276,2023-07-15,Internal,Failed,East Katherine,Chris Clark,1,572.45,4,Communication Skills
1277,2023-03-27,Internal,Passed,Reneeshire,Sandra Russell,3,141.38,4,Communication Skills
1278,2023-02-04,Internal,Incomplete,Lake Bryan,Donna Barr,1,331.46,1,Technical Skills
1279,2022-11-23,Internal,Incomplete,New Rachelfort,Jose Mcdaniel,4,704.93,1,Technical Skills
1280,2023-06-08,External,Completed,Evanhaven,Robert Novak,4,450.65,2,Leadership Development
1281,2023-01-31,External,Completed,Andrewsfurt,Sarah Walker,3,775.97,3,Project Management
1282,2023-02-20,External,Passed,Glennberg,Jasmine Conner,4,376.0,2,Leadership Development
1283,2023-01-17,External,Failed,Christopherport,Karen Thomas,2,106.54,5,Customer Service
1284,2022-11-10,External,Completed,New Johnstad,Richard Rogers,1,852.87,4,Communication Skills
1285,2022-11-08,External,Completed,Port Robertmouth,Jessica Wallace,4,469.03,3,Project Management
1286,2023-05-28,Internal,Incomplete,West John,Shannon Taylor,2,274.85,5,Customer Service
1287,2023-03-31,External,Completed,Patrickfort,Charles Olson,1,342.57,1,Technical Skills
1288,2023-05-13,External,Incomplete,North Danielle,Dana Neal,5,948.31,1,Technical Skills
1289,2022-10-08,Internal,Incomplete,Campbellmouth,Steven Sanchez,3,900.52,2,Leadership Development
1290,2023-05-14,External,Completed,East Denisechester,Alyssa Williams,4,140.72,2,Leadership Development
1291,2022-09-12,Internal,Passed,Williamburgh,Leslie Clark,3,913.62,1,Technical Skills
1293,2023-03-12,Internal,Passed,Martinton,Cynthia Patton,2,668.77,3,Project Management
